"COD1","COD2","NRODESP","CPBTE","ENTRADA","SALIDAS","STOCK","FECENT","FECUSAL"
"A","74","21001IC04054806N","190321","50","51","-1","2021-03-23","2024-10-23"
"A","74","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2024-07-25"
"A","74","21001IC04245806P","131221","50","54","-4","2021-12-17","2025-02-03"
"A","74","21001IC05014592M","280621","50","54","-4","2021-06-30","2025-02-07"
"A","74","22001IC04105136H","160522","51","50","1","2022-05-20","2024-01-25"
"A","74","23001IC04049866C","280323","100","100","0.0000","2023-03-30","2025-02-11"
"A","74","23001IC04174792W","181023","76","82","-6","2023-10-27","2024-07-16"
"A","75","11001IC04199085V","61011","52","52","0.0000","2011-10-11","2011-10-17"
"A","75","16001IC04087468E","80916","210","211","-1","2016-09-12","2018-04-03"
"A","75","17001IC04180892A","80917","117","117","0.0000","2017-09-15","2018-08-07"
"A","75","18001IC04080837W","90418","83","83","0.0000","2018-04-13","2019-06-19"
"A","75","19001IC04015932R","240119","90","90","0.0000","2019-01-28","2019-10-31"
"A","75","19001IC04158500Z","60919","111","112","-1","2019-09-11","2021-02-22"
"A","75","20001IC04192939W","181120","74","74","0.0000","2020-11-24","2021-09-30"
"A","75","21001IC04054806N","190321","50","50","0.0000","2021-03-23","2022-01-20"
"A","75","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2022-03-15"
"A","75","21001IC04245806P","131221","50","50","0.0000","2021-12-17","2022-10-13"
"A","75","21001IC05014592M","280621","50","50","0.0000","2021-06-30","2022-08-24"
"A","75","22001IC04105136H","160522","50","50","0.0000","2022-05-20","2023-01-26"
"A","76","11001IC04199085V","61011","52","52","0.0000","2011-10-11","2011-10-17"
"A","76","16001IC04087468E","80916","205","205","0.0000","2016-09-12","2018-02-02"
"A","76","17001IC04180892A","80917","119","119","0.0000","2017-09-15","2020-08-21"
"A","76","18001IC04080837W","90418","99","99","0.0000","2018-04-13","2021-02-09"
"A","76","19001IC04015932R","240119","90","90","0.0000","2019-01-28","2024-03-04"
"A","76","19001IC04158500Z","60919","74","74","0.0000","2019-09-11","2022-05-10"
"A","76","20001IC04111282E","200720","154","35","119","2020-07-23","2024-02-19"
"A","76","20001IC04192939W","181120","79","57","22","2020-11-24","2025-02-28"
"A","76","21001IC04054806N","190321","51","51","0.0000","2021-03-23","2024-02-15"
"A","76","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2024-01-23"
"A","76","21001IC04245806P","131221","50","53","-3","2021-12-17","2025-02-03"
"A","76","21001IC05014592M","280621","50","50","0.0000","2021-06-30","2024-12-09"
"A","76","22001IC04105136H","160522","52","52","0.0000","2022-05-20","2024-06-25"
"A","76","23001IC04049866C","280323","100","11","89","2023-03-30","2025-03-27"
"A","76","23001IC04174792W","181023","76","76","0.0000","2023-10-27","2024-12-02"
"A","77","11001IC04199085V","61011","52","52","0.0000","2011-10-11","2011-10-17"
"A","77","16001IC04087468E","80916","204","204","0.0000","2016-09-12","2018-11-28"
"A","77","17001IC04180892A","80917","119","119","0.0000","2017-09-15","2022-10-17"
"A","77","18001IC04080837W","90418","97","98","-1","2018-04-13","2023-07-19"
"A","77","19001IC04015932R","240119","101","101","0.0000","2019-01-28","2024-12-20"
"A","77","19001IC04158500Z","60919","74","75","-1","2019-09-11","2025-03-19"
"A","77","20001IC04192939W","181120","75","75","0.0000","2020-11-24","2024-11-22"
"A","77","21001IC04054806N","190321","50","50","0.0000","2021-03-23","2024-03-25"
"A","77","21001IC04161492N","240821","50","10","40","2021-08-30","2023-11-14"
"A","77","21001IC04245806P","131221","50","31","19","2021-12-17","2025-04-28"
"A","77","21001IC05014592M","280621","50","50","0.0000","2021-06-30","2024-01-30"
"A","77","22001IC04105136H","160522","50","49","1","2022-05-20","2024-04-19"
"A","78","11001IC04199085V","61011","50","50","0.0000","2011-10-11","2011-10-17"
"A","78","16001IC04087468E","80916","205","205","0.0000","2016-09-12","2018-08-28"
"A","78","17001IC04180892A","80917","100","100","0.0000","2017-09-15","2022-01-20"
"A","78","18001IC04080837W","90418","104","104","0.0000","2018-04-13","2022-04-21"
"A","78","19001IC04015932R","240119","100","99","1","2019-01-28","2023-11-14"
"A","78","19001IC04158500Z","60919","50","50","0.0000","2019-09-11","2022-07-11"
"A","78","20001IC04111282E","200720","148","93","55","2020-07-23","2025-03-28"
"A","78","20001IC04192939W","181120","76","75","1","2020-11-24","2025-02-25"
"A","78","21001IC04054806N","190321","50","51","-1","2021-03-23","2024-02-09"
"A","78","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2023-05-17"
"A","78","21001IC04245806P","131221","50","49","1","2021-12-17","2024-08-09"
"A","78","21001IC05014592M","280621","50","50","0.0000","2021-06-30","2024-01-30"
"A","78","22001IC04105136H","160522","52","52","0.0000","2022-05-20","2024-04-17"
"A","78","23001IC04049866C","280323","100","59","41","2023-03-30","2025-04-29"
"A","78","23001IC04174792W","181023","76","11","65","2023-10-27","2024-09-27"
"A","79","11001IC04199085V","61011","51","51","0.0000","2011-10-11","2011-10-17"
"A","79","16001IC04087468E","80916","203","203","0.0000","2016-09-12","2018-12-11"
"A","79","17001IC04180892A","80917","104","104","0.0000","2017-09-15","2021-05-31"
"A","79","18001IC04080837W","90418","104","103","1","2018-04-13","2025-04-22"
"A","79","19001IC04015932R","240119","100","100","0.0000","2019-01-28","2025-04-22"
"A","79","19001IC04158500Z","60919","50","50","0.0000","2019-09-11","2022-10-03"
