"FECHA","DOLAR","DOLARA","DOLARB","DOLARC","DOLARD","DOLARE","USUARIO","FECACT"
"12/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-12"
"14/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-14"
"15/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-15"
"16/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-16"
"17/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-17"
"18/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-18"
"19/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-19"
"20/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-20"
"22/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-22"
"23/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-23"
"24/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-24"
"25/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-25"
"26/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-26"
"27/02/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-02-27"
"01/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-01"
"02/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-02"
"03/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-03"
"04/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-04"
"05/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-05"
"06/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-06"
"08/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-08"
"09/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-09"
"10/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-10"
"11/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-11"
"12/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-12"
"13/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-13"
"15/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-15"
"16/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-16"
"17/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-17"
"18/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-18"
"19/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-19"
