"FECHA","FACA","FACB","FACC","NCA","NCB","NCC","NDA","NDB","NDC","MOSTA","MOSTB","MOSTC","NCMOSTA","NCMOSTB","NCMOSTC","UNIDA","UNIDB","UNIDC","DEV","MOSTDEV","UNMOSTA","UNMOSTB","UNMOSTC","PVTA","PCOS","PESP","PESPA","PESPB","PESPC","PESPMOSTA","PESPMOSTB","PESPMOSTC","EXPA","EXPB","NCEXPA","NCEXPB","PESPEXPA","PESPEXPB","UNEXPA","UNEXPB","UNEXPC","EXPDEV","ACUCPRAS","USUARIO","FACTUAL"
"2010-03-04","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","161","0","0","0","0","0","0","0","51109.7625","0.0000","51109.7625","51109.7625","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-04"
"2010-03-05","22","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1724","0","0","0","0","0","0","0","35812.9628","0.0000","35812.9628","35812.9628","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-05"
"2010-03-08","16","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1410","0","0","0","0","0","0","0","20611.9069","0.0000","20611.9069","20611.9069","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-08"
"2010-03-09","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","396","0","0","0","0","0","0","0","11064.413","0.0000","11064.413","11064.413","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-09"
"2010-03-10","17","0","0","1","0","0","1","0","0","0","0","0","0","0","0","350","0","0","0","0","0","0","0","24213.9088","0.0000","24213.9088","24213.9088","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-10"
"2010-03-11","13","0","0","3","0","0","1","0","0","0","0","0","0","0","0","162","0","0","0","0","0","0","0","48076.7227","0.0000","48076.7227","48076.7227","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-11"
"2010-03-12","13","0","0","4","0","0","0","0","0","0","0","0","0","0","0","498","0","0","0","0","0","0","0","22302.9046","0.0000","22302.9046","22302.9046","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-12"
"2010-03-15","18","0","0","3","0","0","0","0","0","0","0","0","0","0","0","770","0","0","0","0","0","0","0","57987.3671","0.0000","57987.3671","57987.3671","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-15"
"2010-03-16","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","349","0","0","0","0","0","0","0","23898.4575","0.0000","23898.4575","23898.4575","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-16"
"2010-03-17","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97","0","0","0","0","0","0","0","14877.0487","0.0000","14877.0487","14877.0487","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-17"
