"CTAB","COD","DESCRI","ALF1","ALF2","ALF3","ALF4","ALF5","ALF6","ALF7","ALF8","NUMSD1","NUMSD2","NUMSD3","NUMCD1","NUMCD2","NUMCD3","FECHA1","FECHA2","MCA1","MCA2","MCA3","USUARIO","FECACT"
"ZN   ","6         ","EZEQUIEL RUTA 7 Y 8","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2017-06-09"
"ZN   ","7         ","E. RIOS EZEQUIEL","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2017-12-19"
"ZN   ","8         ","-8-","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"ZN   ","9         ","-9-","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"VD   ","4         ","COSTA FABRICA","     ","     ","     ","     ","     ","     ","     ","     ","4","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2017-06-09"
"VD   ","5         ","OZCARIZ","     ","     ","     ","     ","     ","     ","     ","     ","5","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-08-08"
"VD   ","6         ","EZEQUIEL R7 Y 8","     ","     ","     ","     ","     ","     ","     ","     ","6","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2017-06-09"
"SC   ","HL        ","LONA HILERADORA","TELAS","     ","     ","     ","     ","     ","MTRS ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-10-22"
"SC   ","MFP       ","MANGUERA FULL PRESS","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-03-22"
"SC   ","MHR1      ","MANG. HIDR. R1","NRO  ","     ","     ","     ","     ","     ","MTRS ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","1","0","          ","2006-11-25"
